"id","word"
"393585","Maurice Garin"
"254331","passade>équitation"
"106879","side-car"
"254332","passade>natation"
"33153","par"
"246146","engrainer"
"41351","van"
"3809717","baseball finlandais"
"237971","assurer>alpinisme"
"213394","voile>plaisance"
"8595","corde"
"237975","escalade>alpinisme"
"90516","plateau"
"237978","sport intérieur"
"7774703","soie>escrime"
"123291","crosser"
"213405","tennis>sport"
"213404","tennis>chaussure"
"33185","sprinter"
"115107","trekker"
"213415","fenêtre>interface graphique"
"2376064","échasses urbaines"
"33191","MJC"
"90534","fauchage"
"49578","abandon"
"5833203","Pato"
"98737","outsider"
"74162","aubin"
"238000","juge de ligne"
"205239","patins à roulettes"
"4055435","cinq-huitième"
"7594436","=oval="
"229817","fleuret>escrime"
"65978","pugilat"
"16831","supériorité"
"139709","s\'envoler"
"434631","snow"
"3695098","Infarctus du myocarde"
"74179","équerre"
"106948","médecine sportive"
"2359779","demi-air"
"352717","excès pondéral"
"213450","poussin>sportif"
"41417","coup"
"270798","course landaise"
"16844","nage"
"156112","nage papillon"
"8661","tomber"
"246239","piscine>équitation"
"98781","ciseau"
"246237","piscine>natation"
"98782","patineur"
"16865","longueur"
"188911","Earvin Johnson"
"2564554","joko garbi"
"188914","Michael Johnson"
"2073068","lugeuse"
"1769965","dégagé>escrime"
"98809","Sampras"
"2539999","snowblade"
"188921","Michael Jordan"
"213503","pelle>aviron"
"123393","patinage artistique"
"238083","équerre>gymnastique"
"123392","continuité"
"246272","aquagym"
"3498545","lancement du disque"
"98823","semelle"
"2482722","parasportif"
"221706","marque>score"
"4940352","attaquant>sport"
"1925649","supergéant"
"90636","minime"
"1925648","speedway"
"49678","mini"
"1925650","barres assymétriques"
"1925645","skeleton"
"98832","maul"
"1925644","ringuette"
"123408","vol"
"131600","Vive le sport"
"1925647","skysurf"
"33298","lice"
"1925646","skicross"
"1925641","korfball"
"2376240","reskater"
"1925640","kickboxing"
"5898831","Arborescence du sport automobile"
"1925643","reck"
"1925642","novillada"
"1925637","glaciérisme"
"1925636","glaciairisme"
"1925639","horseball"
"418332","bouté"
"1925638","héliski"
"172574","appel de la langue"
"2392633","embouchement"
"1925635","flysurf"
"1925634","ferratisme"
"2507271","drift trike"
"8004184","jogger>faire un jogging"
"16930","prise"
"98853","se démarquer"
"213542","pêche>action de pêcher"
"148007","épéisme"
"344611","coup de caveçon"
"123430","jeux"
"8004178","jogger>personne"
"115241","dérapage"
"25129","gonflette"
"49706","galipette"
"9732799","moniteur fédéral 1er degré"
"229938","Tae Kwon Do"
"139827","carne"
"188982","René Lacoste"
"82489","frustration"
"246331","fracture ouverte"
"2507294","point to point"
"16964","marcher"
"164427","faire une belle jambe"
"320078","balle adressée"
"123467","spéléologue"
"320079","balle au repos"
"2433646","cheval à sang chaud"
"115279","Georges Carpentier"
"320084","balle hors d\'usage"
"180818","aile de pigeon"
"320085","balle injouable"
"246353","échappée>sport"
"320086","balle provisoire"
"320087","balle relevée"
"107090","commissaire"
"320080","balle déplacée"
"320081","balle droppée"
"320082","balle entrée"
"164437","sac de sport"
"320083","balle en jeu"
"434769","passing"
"320088","balle subsitituée"
"320089","mauvaise balle"
"246369","marathon>course à pied"
"574048","ulama"
"33387","plaquette"
"139886","franchise"
"2474570","coup franc indirect"
"66163","Ferrero"
"57973","éperon"
"17023","cage"
"156292","salle de sport"
"8839","plaisance"
"205444","petit chelem"
"123526","tenir"
"148105","ailes"
"123533","sports de combat"
"115345","sportivement"
"156306","course de vitesse"
"189072","Jeannie Longo"
"49810","pin"
"33427","relayeur"
"25236","karatéka"
"74391","tractions"
"246420","molette>éperon"
"664","arbitre"
"2474685","péri-scolaire"
"107160","protège-dents"
"377500","rédaction sportive"
"311963","mauvais cheval"
"4309726","talon>équitation"
"98977","manchette"
"33440","goal"
"3228305","canon>cheval"
"139942","botte"
"246439","moto>sport"
"2417280","beach rugby"
"74408","godiller"
"107179","ski"
"5128932","boule>boule de pétanque"
"2564745","wakesurf"
"115374","amphétamine"
"2507415","fond de cours"
"254641","cours de natation"
"2474641","sougorge"
"254646","pince-nez>natation"
"3179142","bicyclette>vélo"
"3179143","bicyclette>football"
"17081","wushu"
"41661","médicosportif"
"139964","s\'échauffer"
"25282","défenseur"
"189131","Diego Armando Maradona"
"139977","paume"
"156365","balle de set"
"410313","jam"
"189138","Rocco Francis Marciano"
"2949884","répondre>équitation"
"2392823","méténolone"
"139985","octave"
"25300","musette"
"148186","footballer"
"74459","U.L.M"
"246495","cob>cheval"
"4072161","pétanquodrome"
"74462","spéléologique"
"148194","fortraiture"
"287478","footy"
"287479","Australian rules"
"17142","dévissé"
"107254","genette"
"287480","football canadien"
"3285708","captagon"
"189185","Colin McRae"
"17155","chambrière"
"320256","entre mecs"
"74500","saccader"
"213766","pistolet>arme à feu"
"774","osselet"
"344844","coureur de haies"
"189197","Reinhold Messner"
"2409259","Gaudermen"
"33552","tambourin"
"33560","turfiste"
"140059","cote"
"2843442","football à cinq DV"
"17178","haltérophile"
"2843441","football à cinq déficients visuels"
"25371","buteur"
"279322","moring"
"2933517","barrage>équitation"
"2491143","girevoy"
"66339","motoneige"
"8994","piste"
"1934143","crème ou cremello"
"804","jogging"
"181031","barre transversale"
"181028","barre fixe"
"808","rueur"
"17199","putt"
"25397","haridelle"
"74548","épuisant"
"9014","patin"
"33590","trick"
"99126","se changer"
"41787","virage"
"205629","planche à neige"
"2949993","Ironman"
"1745759","ramener>équitation"
"222027","arrêts de jeu"
"74569","désarçonner"
"2425709","décathlète"
"222031","cages de football"
"164687","sport en chambre"
"222029","but en argent"
"222028","but contre son camp"
"222035","coup-franc indirect"
"222034","coup-franc direct"
"164688","sport cérébral"
"58194","traçant"
"222032","carton vert"
"115541","antisportif"
"344913","course au clocher"
"222039","passe à dix"
"222038","grand pont"
"222037","deuxième période"
"222036","coup-franc"
"312156","vélo>cyclisme"
"222043","première période"
"156507","balle perdue"
"1934148","cheval polyvalent"
"222042","point de pénalty"
"222041","faire la passe"
"74587","parader"
"222040","passement de jambes"
"246616","deuxième tour"
"1934145","rabicano"
"1934144","pangaré"
"2548603","boardercross"
"320345","OM>football"
"426843","chop"
"222045","faire une tête"
"1934147","cheval de travail"
"320347","club>association>sport"
"222044","six mètres"
"1934146","cheval de sport"
"123749","périple"
"3343190","aile>formation"
"4490018","aller à la salle"
"3294043","niveau>compétence"
"2515788","retourné acrobatique"
"33645","obstacle"
"254834","pratiquer un sport"
"1803110","TREC"
"394107","_INFO-MEANING-PREFERED"
"17277","individuel"
"3228593","wiki:@"
"66433","pitonnage"
"82816","onze"
"148358","goussaut"
"41862","relayer"
"156549","balle de golf"
"58249","pressing"
"25483","record"
"2417585","valencianiste"
"222100","kiter"
"197531","cheval de saut"
"2458553","il va y avoir du sport"
"6341628","maladie cardiaque coronaire"
"2343870","prisé>Adj:"
"254877","_POL-NEUTRE_PC"
"2343869","prisé>Ver:PPas"
"181149","bloc de départ"
"222116","ski>sport"
"115622","verrou"
"17320","régate"
"25514","automobilisme"
"50104","ciseaux"
"222138","gauche>football"
"222137","gauche>boxe"
"66490","autocross"
"99261","relégable"
"189374","Marie-José Pérec"
"213950","balle>ballon"
"123836","poids"
"320442","être à cheval>équitation"
"115647","haut-le-corps"
"213948","ballon>balle"
"99262","éperonner"
"74691","karting"
"963","sherpa"
"230343","ballon d\'or"
"2425824","mézair"
"91081","appuyer"
"230344","pratique sportive"
"213964","balle>objet sphérique"
"164813","Tiger Woods"
"2450421","kite buggy"
"33744","défendre"
"107475","gratte-dos"
"3245027","vie de plein air"
"148433","gym"
"82900","toucher"
"230356","2CV"
"3277803","CIO>Comité international olympique"
"1344457","mauvais cheval>cheval"
"41950","croupière"
"156636","coureur cycliste"
"263130","faire des tours"
"173021","Canadien"
"41951","double-faute"
"164838","être à l\'ouest"
"7054223","=step="
"369645","pentathlon moderne"
"17385","bottom-weight"
"107499","bavette"
"9194","canoter"
"82925","bonne humeur"
"2950083","plateau>football"
"189421","Michel Platini"
"230387","gymnastique rythmique"
"123888","rallye"
"230386","GRS"
"74739","palet"
"58356","box"
"115700","poutre"
"9206","classement"
"2540496","base-jump"
"230388","gymnastique rythmique et sportive"
"25595","enduriste"
"58364","course-croisière"
"156668","GR"
"181245","bras cassé"
"41983","tromper"
"271364","surf>sport"
"9634963","sport à la télévision"
"271366","surf>sport>mer"
"263169","avoir les cheveux mouillés"
"66567","steeple-chase"
"17415","softball"
"271372","sport de pleine nature"
"271373","speed riding"
"320526","pénaliser>sport"
"2376745","prendre une bâche"
"2475051","maitre-nageur"
"271370","parapente>sport"
"17423","chronométrage"
"115735","chute"
"1967110","e-sport"
"246814","percée>sport"
"320549","caracole>équitation"
"2360327","teeshirt"
"369697","performance sportive"
"148517","hooligan"
"91174","étrivière"
"123948","fatigant"
"107569","fortifier"
"222257","karate"
"222256","taikwendo"
"5317730","girafe>monocycle"
"74804","grimpeur"
"369712","perle noire"
"6366294","ostéochondrite juvénile du tubercule tibial"
"1082","stock-car"
"164921","grand chelem"
"164926","viandard"
"336952","association sportive"
"83009","axel"
"181312","canon à neige"
"1093","déchausser"
"123978","terre à terre"
"2499688","podiumable"
"33871","bouger"
"2507892","Rouge et Or"
"3949672","spornographie"
"1110","amusement"
"17495","aikido"
"1111","tension"
"74848","débutant"
"410723","capo"
"189554","Pete Sampras"
"42099","kendoka"
"99445","tirer la langue"
"99447","quick"
"7029778","|t=1|w=0.0"
"214143","NASCAR"
"42109","mouvement"
"58497","plaisancier"
"156804","plein air"
"255108","ballon de sport"
"58507","anneaux"
"140429","chasse"
"107662","télésiège"
"230545","breaker"
"124050","détraquer"
"17557","ramener"
"17559","animal"
"115865","trou"
"222367","gymastique"
"50333","plongeon"
"238759","prime>escrime"
"599213","joueuse>Adj:"
"115879","ballet"
"50346","hippisme"
"99501","cible"
"17582","gagner du terrain"
"214193","mouche>cible"
"189617","Jean Stablinski"
"50356","partout"
"33977","virevolter"
"2499741","city trekking"
"222398","danse contemporaine"
"124092","fer"
"132284","reprise"
"17602","mentonnière"
"214215","caramel>plaquage"
"1770718","prisé>apprécié"
"222404","self defense"
"1223","catch"
"4334731","X Games"
"124104","gourmander"
"42188","filet"
"58573","foot"
"34004","merlu"
"115929","éliminer"
"271582","volée>tennis"
"91354","dribbler"
"165086","poussinette"
"255200","retour>sports"
"34023","vélivole"
"66795","feinte"
"2393295","stand up paddle"
"2417864","CSO"
"74993","yoga"
"42228","pratique du sport"
"181495","cheval de remonte"
"2983124","_SW"
"328956","appuyer [avec] main"
"181497","cheval jarretier"
"230648","rallye automobile"
"238846","EPS"
"4072766","pesäpallo"
"1877278","circuit de Silverstone"
"9478","stoppeur"
"222468","essai>rugby"
"25863","lourd-léger"
"1656081","libériste"
"83208","cirque"
"230665","Djokovic"
"34058","interviewer"
"25869","compétiteur"
"255245","sport universitaire"
"91407","field"
"5940554","waveski surfing"
"115987","pince-nez"
"2483510","cheval à sang froid"
"214288","Puma"
"5940551","wave-ski"
"8816027","jouer au basket-ball"
"25887","doper"
"17695","imposé"
"140573","s\'enterrer"
"140578","quinte"
"214311","basket>basket-ball"
"34085","courses"
"9512","entrepas"
"25896","équilibre"
"378156","réunion sportive"
"3130629","perle noire>cheval"
"2458895","ultratrail"
"214312","basket>chaussure"
"132398","moyeu"
"255281","se faire exclure"
"132407","heptathlonien"
"9527","rondade"
"148793","kayac"
"271685","supporter de foot"
"2557281","triple sauteuse"
"83270","divertir"
"247115","batte>sport"
"17737","vista"
"214345","manche>partie"
"34122","peser"
"230735","400 mètres"
"116045","bidet"
"247118","paint-ball"
"116048","arraché"
"34129","navigateur"
"116052","modélisme"
"25941","pastis"
"2401650","partir de la main"
"99671","dopamine"
"83287","beursault"
"34137","combiné"
"75096","droper"
"66909","spectacle"
"9564","lutteur"
"140639","carre"
"1375","golloter"
"9520590","|t=1|w=0.0"
"83299","crawleur"
"83301","cordeur"
"1381","rochassier"
"58726","amateurisme"
"165221","match nul"
"91494","jury"
"83306","coéquipier"
"238952","plumfoot"
"75118","judo"
"189810","Emile Zátopek"
"230769","haies"
"66935","carton"
"181621","combat libre"
"189818","Zinédine Zidane"
"3777859","jeu de gagne-terrain"
"66943","recordman"
"9598","perchiste"
"25983","gonflage"
"107906","palonnier"
"66949","demi-fond"
"2426273","tenir la main"
"2418082","albicéleste"
"1415","répondre"
"124299","contre-virage"
"25997","armer"
"2418090","streetluge"
"419222","bad"
"42388","médaille"
"312720","Olympique lyonnais"
"198038","coup de barre"
"329117","jouer [sujet] sportif"
"66970","ballon"
"2418104","escaveçade"
"83356","putter"
"99740","naviguer"
"157084","poste>Nom:Mas+SG"
"157091","vêtements de sport"
"83364","éliminatoire"
"2499971","abadá"
"116134","selles"
"165290","remontée mécanique"
"2442636","flowboard"
"17834","favori"
"34220","télé"
"58796","recentrer"
"66991","schelem"
"2475413","rhythmique"
"132531","cogneur"
"9650","sphère"
"1828264","asthme et sport"
"214458","fer>golf"
"107960","furieux"
"83384","lugeur"
"214463","club>association"
"214462","club>golf"
"26049","pivoter"
"42436","archer"
"1803743","constructeur de voitures de sport"
"99783","let"
"58822","relever"
"75206","bye"
"230856","taekwendo"
"320971","marcheur>athlète"
"189910","sport national"
"247255","faire de la gymnastique"
"124373","arbitrage"
"124372","rating"
"189915","match de barrage"
"1499","hippique"
"247261","record du monde"
"435687","dévisser>alpinisme"
"263654","parcours de santé"
"435685","catégorie sportive"
"140774","isabelle"
"3229142","prolongation>sport"
